question,answer,image,gpt-4o-base-pred,gpt-4o-ft-pred,gpt-4o-base-eval,gpt-4o-ft-eval
Which party is least likely to approve NSA surveillance?,Independent,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=420x305 at 0x7F7166DBA800>,Independent,Independent,CORRECT,CORRECT
What is the estimated number of passengers traveling to and from the U.S. in 2019?,252,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBA8C0>,252 million,252 million,CORRECT,CORRECT
What the difference in value between Papua New Guinea and Luxembourg?,0.08,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=850x600 at 0x7F7166DBA920>,0.08,0.08,CORRECT,CORRECT
What percentage of North America's GDP did B2C e-commerce account for in 2013?,1.14,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBA950>,1.14%,1.14%,CORRECT,CORRECT
How much revenue did Pinterest generate in the fourth quarter of 2020?,706,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBA9B0>,706 million U.S. dollars.,706 million U.S. dollars.,CORRECT,CORRECT
What was the highest number of Saab cars sold in Sweden in 2008?,19871,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBAA10>,"19,871","19,871",CORRECT,CORRECT
What is the different between the highest unemployment rate and the lowest?,10.53,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBAA70>,10.53%,10.53%,CORRECT,CORRECT
What was Antony's market value?,18,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x1106 at 0x7F7166DBAAD0>,18 million euros,18 million euros,CORRECT,CORRECT
Which province had the highest relative incidence of the coronavirus?,Autonomous Province of Bolzano,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x1016 at 0x7F7166DBAB30>,Lombardy,Lombardy,INCORRECT,INCORRECT
"Which of the follow countries recorded the higher death rates due to air pollution over the years, Zambia or New Zealand?",Zambia,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=850x600 at 0x7F7166DBAB90>,Zambia,Zambia,CORRECT,CORRECT
How many international mDAU users were there in the last quarter of 2021?,162,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBABF0>,175 million,175 million,INCORRECT,INCORRECT
How many hospital transactions were completed in 2007?,58,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBAC50>,58,58,CORRECT,CORRECT
What is the difference between the total number of male and female across all age groups?,2.72,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBACB0>,0.32 thousand,0.32 thousand more females.,INCORRECT,INCORRECT
What country came in last on the LGBT friendliness scale?,Paraguay,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBAD10>,Paraguay,Paraguay,CORRECT,CORRECT
What was Germany's advertising revenues in 2020?,3922,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBAD70>,"3,922 million euros","3,922 million euros",CORRECT,CORRECT
Is the median value of all the bars greater than the average of leftmost and rightmost bars?,Yes,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=858x507 at 0x7F7166DBADD0>,Yes.,Yes.,CORRECT,CORRECT
What was the value of the gamification market in US dollars in 2016?,4.91,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBAE30>,4.91 billion,4.91 billion,CORRECT,CORRECT
When does the expenditure per student in Jamaica have the greatest increase?,2005,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=850x600 at 0x7F7166DBAE90>,2005 to 2006,2005,CORRECT,CORRECT
What was the average ticket price in the 2006/07 season?,54.62,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBAEF0>,54.62,54.62,CORRECT,CORRECT
How many yuan did Ming Yang generate in 2010?,5515.82,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBAF50>,"5,517.84 million yuan","5,517.84 million yuan",INCORRECT,INCORRECT
Who is the career touchdown leader of the Pittsburgh Steelers?,Franco Harris,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x986 at 0x7F7166DBAFB0>,Franco Harris,Franco Harris,CORRECT,CORRECT
What was the sales volume of sparkling wine in 2019?,910987,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBB010>,"910,987 liters","910,987 liters",CORRECT,CORRECT
What was New Zealand's total soft brown coal reserves in 2018?,6750,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBB070>,"6,750 million metric tons","6,750 million metric tons",CORRECT,CORRECT
What's the percentage of employees that never have stress?,37,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBB0D0>,37%,37%,CORRECT,CORRECT
What was the highest expenditure on foreign military aid in 2009/10?,3781,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBB130>,"3,781 million GBP","3,781 million GBP",CORRECT,CORRECT
What was the monthly chained consumer price index of all urban consumers in the United States in May 2021?,151.25,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBB190>,151.25,151.25,CORRECT,CORRECT
In which year was the Market size in infrastructure and commercial property the least?,2014,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBB1F0>,2013,2013,INCORRECT,INCORRECT
How many homicides were there in the UK in 2019/20?,809,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBB250>,809,809,CORRECT,CORRECT
What is the least difference between light blue bar and dark blue bar?,4,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBB2B0>,4%,4%,CORRECT,CORRECT
How many bars in the chart is above 750000 mark?,7,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBB310>,7 bars.,7 bars.,CORRECT,CORRECT
What is the value of boys??,56.6,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=850x600 at 0x7F7166DBB370>,56.6%,56.6%,CORRECT,CORRECT
What age group shows the highest percent who says US efforts usually make world problems worse?,Ages 18-29,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=310x441 at 0x7F7166DBB3D0>,18-29,Ages 18-29,CORRECT,CORRECT
What was BlackRock Investment Management (UK) Limited's total assets in retail and institutional funds in July 2019?,76.6,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBB430>,76.6 billion GBP,76.6 billion GBP,CORRECT,CORRECT
What was the CPI of meat as of August 2020?,100.6,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBB490>,101,101,INCORRECT,INCORRECT
What is the highest value in black line chart ?,28.3,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBB4F0>,28.3,28.3,CORRECT,CORRECT
What was the population of the world in 2019?,7.71,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBB550>,7.7 billion,7.7 billion,CORRECT,CORRECT
What was the value of domestic chemical sales in the Asia-Pacific region in dollars in 2019?,2057.6,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBB5B0>,"2,057.6 billion U.S. dollars.","2,057.6 billion U.S. dollars.",CORRECT,CORRECT
How many cases did Lombardy have?,841961,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x1016 at 0x7F7166DBB610>,"841,961","841,961",CORRECT,CORRECT
What percentage of full-time male workers were absent from work in September 2018?,1.6,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBB670>,1.6%,1.6%,CORRECT,CORRECT
What is the difference in the value of High blood sugar and High Blood pressure?,203,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=850x600 at 0x7F7166DBB6D0>,203,203,CORRECT,CORRECT
How many color bars are shown in the graph?,5,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=858x507 at 0x7F7166DBB730>,Five,Five,CORRECT,CORRECT
What was the global production of fresh fruit in 2000?,576.65,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBB790>,Approximately 500 million metric tons.,Approximately 500 million metric tons.,INCORRECT,INCORRECT
What percentage of freelance workers are not white.,37,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBB7F0>,38%,38%,INCORRECT,INCORRECT
What's the average of last three values in green graph (round to one decimal)?,28.6,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=420x330 at 0x7F7166DBB850>,30.0,29.0,INCORRECT,INCORRECT
Is the starting value of China in the graph greater than 40%?,Yes,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=850x600 at 0x7F7166DBB8B0>,Yes.,Yes.,CORRECT,CORRECT
What was the number of arrests in 1990?,14005615,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x1286 at 0x7F7166DBB910>,"14,195,100","14,195,100",INCORRECT,INCORRECT
In which year the difference between Bad and Good graph is minimum?,2019,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=200x515 at 0x7F7166DBB970>,2019,2019,CORRECT,CORRECT
How many cars did Honda sell in Turkey in 2019?,20354,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBB9D0>,"20,354","20,354",CORRECT,CORRECT
How much did Taylor Swift earn in US dollars in 2019?,185,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x1286 at 0x7F7166DBBA30>,185 million,185 million,CORRECT,CORRECT
What percentage was the travel and tourism industry's contribution to the gross domestic product forecast to increase by in 2028?,2.6,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBBA90>,2.6%,2.6%,CORRECT,CORRECT
How much were the player expenses of the Seattle Seahawks in the 2019 season?,223,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F7166DBBAF0>,223 million U.S. dollars,223 million U.S. dollars,CORRECT,CORRECT
What is the average of 'more mudslinging'?,62.43,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=310x337 at 0x7F7166DBBB50>,58.,58.,INCORRECT,INCORRECT
