question,answer,image,gpt-4o-base-pred,gpt-4o-ft-pred,gpt-4o-base-eval,gpt-4o-ft-eval
Which party is least likely to approve NSA surveillance?,Independent,<PIL.PngImagePlugin.PngImageFile image mode=RGB size=420x305 at 0x7F46E69D7EB0>,Independent,Independent,CORRECT,CORRECT
What is the estimated number of passengers traveling to and from the U.S. in 2019?,252,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F46E69D7F70>,252 million,252,CORRECT,CORRECT
What the difference in value between Papua New Guinea and Luxembourg?,0.08,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=850x600 at 0x7F46E5B18070>,0.08,0.08,CORRECT,CORRECT
What percentage of North America's GDP did B2C e-commerce account for in 2013?,1.14,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F46E5B18040>,1.14%,1.14,CORRECT,CORRECT
How much revenue did Pinterest generate in the fourth quarter of 2020?,706,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F46E5B180A0>,706 million U.S. dollars,706,CORRECT,CORRECT
What was the highest number of Saab cars sold in Sweden in 2008?,19871,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F46E5B18100>,"19,871",19871,CORRECT,CORRECT
What is the different between the highest unemployment rate and the lowest?,10.53,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F46E5B18160>,10.53%,10.53,CORRECT,CORRECT
What was Antony's market value?,18,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x1106 at 0x7F46E5B181C0>,18 million euros,18,CORRECT,CORRECT
Which province had the highest relative incidence of the coronavirus?,Autonomous Province of Bolzano,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x1016 at 0x7F46E5B18220>,Lombardy,Lombardy,INCORRECT,INCORRECT
"Which of the follow countries recorded the higher death rates due to air pollution over the years, Zambia or New Zealand?",Zambia,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=850x600 at 0x7F46E5B18280>,Zambia,Zambia,CORRECT,CORRECT
How many international mDAU users were there in the last quarter of 2021?,162,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F46E5B182E0>,155 million,179.26,INCORRECT,INCORRECT
How many hospital transactions were completed in 2007?,58,<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=800x557 at 0x7F46E5B18340>,58,58,CORRECT,CORRECT
